run.number,date_time.run,process.count,random.seed,human.count,zombie.count,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time
,25.01.2016 00:32:47,4,1453678367,500;,5;,0,0,7,7,2,2,2,0.16,10,10.72
,25.01.2016 01:55:01,4,1453683303,5000;,1000;,0,0,99,99,2 #process in x axis,2 #process in y axis,2,1.49,20,75.1
,25.01.2016 02:02:20,16,1453683740,5000;,1000;,0,0,99,99,4 #process in x axis,4 #process in y axis,2,0.58,20,38.11
,25.01.2016 02:08:06,25,1453684086,5000;,1000;,0,0,99,99,5 #process in x axis,5 #process in y axis,2,0.44,20,27.74
