"tick","number_infected"
1.1,256
2.1,483
3.1,578
4.1,721
5.1,843
6.1,990
7.1,1140
8.1,1285
9.1,1431
10.1,1579
11.1,1707
12.1,1837
13.1,1966
14.1,2089
15.1,2218
16.1,2339
17.1,2443
18.1,2543
19.1,2649
